15:39:21.862 place-ship: size=4 pos=(0,2) dir=horizontal
15:39:21.863 place-ship: size=3 pos=(4,3) dir=horizontal
15:39:21.863 place-ship: size=3 pos=(4,0) dir=horizontal
15:39:21.863 place-ship: size=2 pos=(2,7) dir=horizontal
15:39:21.863 place-ship: size=2 pos=(7,5) dir=vertical
15:39:21.863 place-ship: size=2 pos=(6,7) dir=vertical
15:39:21.863 place-ship: size=1 pos=(5,6) dir=horizontal
15:39:21.863 place-ship: size=1 pos=(7,2) dir=vertical
15:39:21.863 place-ship: size=1 pos=(9,8) dir=vertical
15:39:21.863 place-ship: size=1 pos=(1,9) dir=horizontal
15:39:21.864 shot: pos=(6,6) result=hit
15:39:21.864 enemy-shot: pos=(5,2) result=miss
15:39:21.864 shot: pos=(7,6) result=hit
15:39:21.864 enemy-shot: pos=(5,5) result=miss
15:39:21.865 shot: pos=(4,6) result=miss
15:39:21.865 enemy-shot: pos=(1,3) result=miss
15:39:21.865 shot: pos=(0,8) result=hit
15:39:21.865 enemy-shot: pos=(8,1) result=miss
15:39:21.865 shot: pos=(4,5) result=miss
15:39:21.865 enemy-shot: pos=(4,6) result=miss
15:39:21.865 shot: pos=(2,2) result=miss
15:39:21.865 enemy-shot: pos=(1,8) result=miss
15:39:21.865 shot: pos=(7,1) result=miss
15:39:21.865 enemy-shot: pos=(9,4) result=miss
15:39:21.866 shot: pos=(5,4) result=sunk ship-size=1
15:39:21.866 enemy-shot: pos=(5,1) result=miss
15:39:21.866 shot: pos=(0,1) result=miss
15:39:21.866 enemy-shot: pos=(9,6) result=miss
15:39:21.866 shot: pos=(2,4) result=miss
15:39:21.866 enemy-shot: pos=(8,9) result=miss
15:39:21.866 shot: pos=(0,5) result=hit
15:39:21.866 enemy-shot: pos=(7,5) result=hit
15:39:21.866 shot: pos=(4,7) result=miss
15:39:21.866 enemy-shot: pos=(3,3) result=miss
15:39:21.866 shot: pos=(8,0) result=miss
15:39:21.866 enemy-shot: pos=(3,6) result=miss
15:39:21.866 shot: pos=(0,6) result=miss
15:39:21.866 enemy-shot: pos=(1,9) result=sunk ship-size=1
15:39:21.867 shot: pos=(7,7) result=miss
15:39:21.867 enemy-shot: pos=(0,6) result=miss
15:39:21.867 shot: pos=(6,3) result=hit
15:39:21.867 enemy-shot: pos=(8,5) result=miss
15:39:21.867 shot: pos=(9,0) result=miss
15:39:21.867 enemy-shot: pos=(7,9) result=miss
15:39:21.867 shot: pos=(3,3) result=miss
15:39:21.867 enemy-shot: pos=(4,9) result=miss
15:39:21.867 shot: pos=(8,7) result=miss
15:39:21.867 enemy-shot: pos=(4,1) result=miss
15:39:21.867 shot: pos=(8,2) result=miss
15:39:21.867 enemy-shot: pos=(6,1) result=miss
15:39:21.867 shot: pos=(5,6) result=miss
15:39:21.867 enemy-shot: pos=(4,2) result=miss
15:39:21.868 shot: pos=(5,7) result=miss
15:39:21.868 enemy-shot: pos=(7,4) result=miss
15:39:21.868 shot: pos=(8,1) result=miss
15:39:21.868 enemy-shot: pos=(7,8) result=miss
15:39:21.868 shot: pos=(7,5) result=miss
15:39:21.868 enemy-shot: pos=(2,7) result=hit
15:39:21.868 shot: pos=(8,3) result=hit
15:39:21.868 enemy-shot: pos=(3,5) result=miss
15:39:21.868 shot: pos=(3,9) result=hit
15:39:21.868 enemy-shot: pos=(6,0) result=hit
15:39:21.868 shot: pos=(7,0) result=miss
15:39:21.868 enemy-shot: pos=(3,4) result=miss
15:39:21.869 shot: pos=(6,9) result=miss
15:39:21.869 enemy-shot: pos=(4,5) result=miss
15:39:21.869 shot: pos=(3,2) result=miss
15:39:21.869 enemy-shot: pos=(2,1) result=miss
15:39:21.869 shot: pos=(4,3) result=miss
15:39:21.869 enemy-shot: pos=(0,0) result=miss
15:39:21.869 shot: pos=(5,1) result=miss
15:39:21.869 enemy-shot: pos=(5,8) result=miss
15:39:21.870 shot: pos=(3,5) result=hit
15:39:21.870 enemy-shot: pos=(3,9) result=miss
15:39:21.870 shot: pos=(2,9) result=miss
15:39:21.870 enemy-shot: pos=(1,1) result=miss
15:39:21.870 shot: pos=(4,1) result=miss
15:39:21.870 enemy-shot: pos=(7,7) result=miss
15:39:21.870 shot: pos=(6,0) result=miss
15:39:21.870 enemy-shot: pos=(8,7) result=miss
15:39:21.870 shot: pos=(7,8) result=miss
15:39:21.870 enemy-shot: pos=(6,7) result=hit
15:39:21.870 shot: pos=(1,3) result=miss
15:39:21.870 enemy-shot: pos=(6,4) result=miss
15:39:21.870 shot: pos=(8,5) result=miss
15:39:21.870 enemy-shot: pos=(1,5) result=miss
15:39:21.871 shot: pos=(7,3) result=sunk ship-size=3
15:39:21.871 enemy-shot: pos=(9,8) result=sunk ship-size=1
15:39:21.871 shot: pos=(1,9) result=miss
15:39:21.871 enemy-shot: pos=(6,2) result=miss
15:39:21.871 shot: pos=(5,0) result=miss
15:39:21.871 enemy-shot: pos=(2,5) result=miss
15:39:21.871 shot: pos=(5,5) result=miss
15:39:21.871 enemy-shot: pos=(2,0) result=miss
15:39:21.871 shot: pos=(0,2) result=miss
15:39:21.871 enemy-shot: pos=(7,3) result=miss
15:39:21.871 shot: pos=(2,8) result=miss
15:39:21.871 enemy-shot: pos=(0,3) result=miss
15:39:21.871 shot: pos=(6,5) result=miss
15:39:21.872 enemy-shot: pos=(0,9) result=miss
15:39:21.872 shot: pos=(7,2) result=miss
15:39:21.872 enemy-shot: pos=(3,2) result=hit
15:39:21.872 shot: pos=(9,5) result=miss
15:39:21.872 enemy-shot: pos=(2,6) result=miss
15:39:21.872 shot: pos=(5,2) result=miss
